#Mod_Priority,#Mod_Name,#Nexus_ID,#Mod_Nexus_URL,#Mod_Version,#Install_Date
"0000","DLC: HearthFires",-1,"","","2020/10/31 17:52:14"
"0001","DLC: Dragonborn",-1,"","","2020/10/31 17:52:54"
"0002","DLC: Dawnguard",-1,"","","2020/10/31 17:50:43"
"0003","Creation Club: ccqdrsse002-firewood",-1,"","","2020/10/31 16:22:41"
"0004","Creation Club: ccfsvsse001-backpacks",-1,"","","2020/10/31 16:22:37"
"0005","Creation Club: ccbgssse035-petnhound",-1,"","","2020/10/31 16:22:51"
"0006","Creation Club: ccbgssse014-spellpack01",-1,"","","2020/10/31 16:22:40"
"0007","Creation Club: ccbgssse010-petdwarvenarmoredmudcrab",-1,"","","2020/10/31 16:22:45"
"0008","Unofficial Skyrim Special Edition Patch",266,"https://www.nexusmods.com/skyrimspecialedition/mods/266","4.2.3.0","2020/10/31 13:59:32"
"0009","Beyond Skyrim - Bruma SE",10917,"https://www.nexusmods.com/skyrimspecialedition/mods/10917","1.3.3.0","2020/10/31 14:01:16"
"0010","Khajiit Caravan Kittens - Children Of Tamriel",28170,"https://www.nexusmods.com/skyrimspecialedition/mods/28170","1.1.0.0","2020/10/31 14:01:22"
"0011","ApachiiSkyHair SSE",2014,"https://www.nexusmods.com/skyrimspecialedition/mods/2014","1.6.0.0.Full","2020/10/31 14:03:10"
"0012","Falskaar",2057,"https://www.nexusmods.com/skyrimspecialedition/mods/2057","2.2.0.0","2020/10/31 14:03:43"
"0013","SkyUI",12604,"https://www.nexusmods.com/skyrimspecialedition/mods/12604","5.2.0.0SE","2020/10/31 14:03:55"
"0014","RaceMenu",19080,"https://www.nexusmods.com/skyrimspecialedition/mods/19080","0.4.16.0","2020/10/31 14:04:08"
"0015","Skyrim Immersive Creatures Special Edition",12680,"https://www.nexusmods.com/skyrimspecialedition/mods/12680","6.6.0.0a","2020/10/31 14:04:56"
"0016","Skyrim Immersive Creatures - Official Patch and Patch Central",18639,"https://www.nexusmods.com/skyrimspecialedition/mods/18639","0.27.0.0","2020/10/31 14:05:50"
"0017","Ziovdendian Bodypaint - Designs of the Lupine - RaceMenu Overlays - Special Edition",25204,"https://www.nexusmods.com/skyrimspecialedition/mods/25204","1.0.0.0","2020/10/31 14:06:11"
"0018","Caliente's Beautiful Bodies Enhancer -CBBE-",198,"https://www.nexusmods.com/skyrimspecialedition/mods/198","1.6.1.0","2020/10/31 14:09:09"
"0019","Dynamic Dungeon Loot (DDL) - Random Loot System",10308,"https://www.nexusmods.com/skyrimspecialedition/mods/10308","1.0.1.0","2020/10/31 14:09:18"
"0020","BeastHHBB - Beast Hair Horn Beard and Brow - Vanilla based character creation options and NPC replacer for Khajiit and Argonians",38480,"https://www.nexusmods.com/skyrimspecialedition/mods/38480","1.5.0.0","2020/10/31 14:10:14"
"0021","Hvergelmir's Aesthetics - Brows",1062,"https://www.nexusmods.com/skyrimspecialedition/mods/1062","4.1.0.0","2020/10/31 14:10:32"
"0022","Improved Eyes Skyrim",9141,"https://www.nexusmods.com/skyrimspecialedition/mods/9141","1.5.1.0","2020/10/31 14:11:32"
"0023","Fair Skin Complexion",798,"https://www.nexusmods.com/skyrimspecialedition/mods/798","10.0.0.0","2020/10/31 14:13:56"
"0024","KS Hairdos SSE",6817,"https://www.nexusmods.com/skyrimspecialedition/mods/6817","1.7.0.0","2020/10/31 14:19:33"
"0025","Alex's Leveling Creatures",11638,"https://www.nexusmods.com/skyrimspecialedition/mods/11638","1.0.0.0","2020/10/31 14:19:49"
"0026","Cutting Room Floor - SSE",276,"https://www.nexusmods.com/skyrimspecialedition/mods/276","3.1.8.0a","2020/10/31 14:20:42"
"0027","SkyTEST - Realistic Animals and Predators SE",1104,"https://www.nexusmods.com/skyrimspecialedition/mods/1104","1.65.0.0","2020/10/31 14:23:14"
"0028","M'rissi's Tails of Troubles SE",29241,"https://www.nexusmods.com/skyrimspecialedition/mods/29241","1.6.0.0","2020/10/31 14:30:28"
"0029","Immersive Armors",3479,"https://www.nexusmods.com/skyrimspecialedition/mods/3479","8.1.0.0","2020/10/31 14:32:14"
"0030","Immersive Weapons",16788,"https://www.nexusmods.com/skyrimspecialedition/mods/16788","2.0.0.0","2020/10/31 14:33:34"
"0031","Perkapalooza",14305,"https://www.nexusmods.com/skyrimspecialedition/mods/14305","1.0.0.0","2020/10/31 14:34:05"
"0032","Enchanting Tools Expanded",17953,"https://www.nexusmods.com/skyrimspecialedition/mods/17953","1.0.0.0","2020/10/31 14:35:11"
"0033","Moonpath to Elsweyr SSE",4341,"https://www.nexusmods.com/skyrimspecialedition/mods/4341","1.16.1.0","2020/10/31 14:36:37"
"0034","Unofficial Moonpath to Elsweyr Patch",15882,"https://www.nexusmods.com/skyrimspecialedition/mods/15882","1.5.0.0","2020/10/31 14:36:55"
"0035","Project AHO",15996,"https://www.nexusmods.com/skyrimspecialedition/mods/15996","2.0.0.0","2020/10/31 14:37:26"
"0036","Vilja in Skyrim",6722,"https://www.nexusmods.com/skyrimspecialedition/mods/6722","4.3.0.0","2020/10/31 14:38:41"
"0037","Mirai - the Girl with the Dragon Heart (Skyrim Special Edition)",10908,"https://www.nexusmods.com/skyrimspecialedition/mods/10908","2.11.0.0","2020/10/31 14:39:01"
"0038","INIGO",1461,"https://www.nexusmods.com/skyrimspecialedition/mods/1461","2.4.0.0C","2020/10/31 14:39:40"
"0039","Windstad Mine - Skyrim Special Edition",4160,"https://www.nexusmods.com/skyrimspecialedition/mods/4160",".9","2020/10/31 14:39:47"
"0040","Winterstone Castle SE",2760,"https://www.nexusmods.com/skyrimspecialedition/mods/2760","1.4.0.0","2020/10/31 14:40:11"
"0041","Sofia - The Funny Fully Voiced Follower",2180,"https://www.nexusmods.com/skyrimspecialedition/mods/2180","2.51.0.0","2020/10/31 14:41:55"
"0042","Faster Bows",3936,"https://www.nexusmods.com/skyrimspecialedition/mods/3936","1.0.0.0","2020/10/31 14:42:26"
"0043","The Notice Board SE",3218,"https://www.nexusmods.com/skyrimspecialedition/mods/3218","1.4.0.0","2020/10/31 14:42:48"
"0044","Khajiit Child Maisha SE",8649,"https://www.nexusmods.com/skyrimspecialedition/mods/8649","f2.02","2020/10/31 14:43:29"
"0045","S'hani the Grey - A standalone Khajiit Follower",26935,"https://www.nexusmods.com/skyrimspecialedition/mods/26935","0.91.0.0","2020/10/31 14:44:25"
"0046","Pandorable's Heroines",16625,"https://www.nexusmods.com/skyrimspecialedition/mods/16625","1.0.0.0","2020/10/31 14:45:35"
"0047","BodySlide and Outfit Studio",201,"https://www.nexusmods.com/skyrimspecialedition/mods/201","5.2.0.0","2020/10/31 14:45:57"
"0048","Black Sacrament Armor - SSE CBBE BodySlide (with Physics)",16687,"https://www.nexusmods.com/skyrimspecialedition/mods/16687","1.7.0.0","2020/10/31 14:46:39"
"0049","My Home is Your Home",7096,"https://www.nexusmods.com/skyrimspecialedition/mods/7096","d2020.10.29.0","2020/10/31 14:46:46"
"0050","Auto-Equip Best Arrows",25410,"https://www.nexusmods.com/skyrimspecialedition/mods/25410","1.0.0.0","2020/10/31 14:47:02"
"0051","Player Size Adjuster and First Person Camera Height Fix SSE",14515,"https://www.nexusmods.com/skyrimspecialedition/mods/14515","1.12.0.0","2020/10/31 14:47:14"
"0052","Alex's Higher Bounty Rewards",11294,"https://www.nexusmods.com/skyrimspecialedition/mods/11294","4.0.0.0","2020/10/31 14:47:22"
"0053","Stones of Barenziah Quest Markers",684,"https://www.nexusmods.com/skyrimspecialedition/mods/684","1.3.1.0","2020/10/31 14:47:36"
"0054","SkyHUD",463,"https://www.nexusmods.com/skyrimspecialedition/mods/463","0.90.0.0B","2020/10/31 14:48:24"
"0055","Acquisitive Soul Gems Multithreaded",1469,"https://www.nexusmods.com/skyrimspecialedition/mods/1469","4.7.0.0","2020/10/31 14:49:15"
"0056","OBIS SE - Organized Bandits In Skyrim Special Edition",4145,"https://www.nexusmods.com/skyrimspecialedition/mods/4145","2.5.0.0","2020/10/31 14:50:14"
"0057","Simply Faster Arrows and Bolts",1396,"https://www.nexusmods.com/skyrimspecialedition/mods/1396","3.0.0.0","2020/10/31 14:50:24"
"0058","QUASIPC - Qwinn's Unified Automated Self Installing Patch Compendium",18369,"https://www.nexusmods.com/skyrimspecialedition/mods/18369","2.5.0.0","2020/11/05 14:02:31"
"0059","RaceCompatibility with fixes for SSE",2853,"https://www.nexusmods.com/skyrimspecialedition/mods/2853","2.11.0.0","2020/10/31 14:51:44"
"0060","Khajiit Kin Race (m'rissi Based Race)",22774,"https://www.nexusmods.com/skyrimspecialedition/mods/22774","6.0.0.0","2020/10/31 14:52:22"
"0061","Permanent Legendary Bonuses",12743,"https://www.nexusmods.com/skyrimspecialedition/mods/12743","0.5.0.0","2020/10/31 14:53:34"
"0062","Hearthfire multiple adoptions - Now with custom home support for kids and spouse",3862,"https://www.nexusmods.com/skyrimspecialedition/mods/3862","3.0.3.0","2020/10/31 14:54:29"
"0063","BucketHead",25765,"https://www.nexusmods.com/skyrimspecialedition/mods/25765","1.0.0.0","2020/10/31 14:54:52"
"0064","moreHUD SE",12688,"https://www.nexusmods.com/skyrimspecialedition/mods/12688","3.8.0.0","2020/10/31 14:55:08"
"0065","Ish's Souls to Perks",1955,"https://www.nexusmods.com/skyrimspecialedition/mods/1955","1.2.0.0","2020/10/31 15:07:00"
"0066","60 FPS Menus - Natural Interface",15154,"https://www.nexusmods.com/skyrimspecialedition/mods/15154","2.10.0.0","2020/10/31 15:10:33"
"0067","Weathered Nordic Bodypaints -Special Edition- RaceMenu Overlays and Warpaints",19594,"https://www.nexusmods.com/skyrimspecialedition/mods/19594","2.1.0.0","2020/10/31 15:12:04"
"0068","Simply Knock SE",14098,"https://www.nexusmods.com/skyrimspecialedition/mods/14098","1.0.3.0","2020/10/31 15:13:46"
"0069","Ordinator - Perks of Skyrim",1137,"https://www.nexusmods.com/skyrimspecialedition/mods/1137","9.30.0.0","2020/10/31 15:13:52"
"0070","Multiple Enchantments - Ordinator Patch",5267,"https://www.nexusmods.com/skyrimspecialedition/mods/5267","1.3.0.0","2020/10/31 15:14:19"
"0071","Immersive Citizens - AI Overhaul",173,"https://www.nexusmods.com/skyrimspecialedition/mods/173","0.4.0.0","2020/10/31 15:14:33"
"0072","Relationship Dialogue Overhaul - RDO SE",1187,"https://www.nexusmods.com/skyrimspecialedition/mods/1187","1.0.0.0","2020/10/31 15:14:48"
"0073","Nether's Follower Framework",18076,"https://www.nexusmods.com/skyrimspecialedition/mods/18076","2.7.3.0","2020/10/31 15:17:07"
"0074","Alternate Start - Live Another Life - SSE",272,"https://www.nexusmods.com/skyrimspecialedition/mods/272","4.1.3.0","2020/10/31 15:19:23"
"0075","moreHUD Inventory Edition",18619,"https://www.nexusmods.com/skyrimspecialedition/mods/18619","1.0.18.0","2020/10/31 15:20:16"
"0076","Perk Points and More Gold for Bounty Quests",2743,"https://www.nexusmods.com/skyrimspecialedition/mods/2743","1.0.0.0","2020/10/31 15:20:38"
"0077","Skyrim Skill Uncapper .ini for Ordinator",11194,"https://www.nexusmods.com/skyrimspecialedition/mods/11194","1.1.0.0m","2020/10/31 15:20:50"
"0078","Address Library for SKSE Plugins",32444,"https://www.nexusmods.com/skyrimspecialedition/mods/32444","2.0.0.0","2020/10/31 15:20:56"
"0079","Yes Im Sure",24898,"https://www.nexusmods.com/skyrimspecialedition/mods/24898","1.5.0.0","2020/10/31 15:21:26"
"0080","Skyrim Skill Uncapper",8889,"https://www.nexusmods.com/skyrimspecialedition/mods/8889","1.1.0.0","2020/10/31 15:21:31"
"0081","SSE Engine Fixes (skse64 plugin)",17230,"https://www.nexusmods.com/skyrimspecialedition/mods/17230","5.4.1.0","2020/10/31 15:21:36"
"0082","Hook Share SSE",21373,"https://www.nexusmods.com/skyrimspecialedition/mods/21373","4.0.1.0","2020/10/31 15:21:43"
"0083","Unread Books Glow SSE with MCM",20679,"https://www.nexusmods.com/skyrimspecialedition/mods/20679","2.21.0.0","2020/10/31 15:21:55"
"0084","FallrimTools - Script cleaner and more",5031,"https://www.nexusmods.com/skyrimspecialedition/mods/5031","d2019.9.20.0","2020/10/31 15:22:26"
"0085","Khajiit Followers",25211,"https://www.nexusmods.com/skyrimspecialedition/mods/25211","d2019.3.10.0","2020/10/31 15:22:31"
"0086","Khinara Jade - RaceMenu Preset",76197,"https://www.nexusmods.com/skyrim/mods/76197","1.0.0.0","2020/10/31 15:22:37"
"0087","Fuz Ro D-oh - Silent Voice",15109,"https://www.nexusmods.com/skyrimspecialedition/mods/15109","1.7.0.0","2020/10/31 15:22:43"
"0088","Better Khajiit female body Texture for UNP and CBBE body",18051,"https://www.nexusmods.com/skyrimspecialedition/mods/18051","4.0.0.0","2020/10/31 15:22:58"
"0089","Simply Knock SKSE64 DLL",24297,"https://www.nexusmods.com/skyrimspecialedition/mods/24297","4.0.0.0","2020/10/31 15:23:03"
"0090","JContainers SE",16495,"https://www.nexusmods.com/skyrimspecialedition/mods/16495","4.1.13.0","2020/10/31 15:23:13"
"0091","SkyUI - Survival Mode Integration",17729,"https://www.nexusmods.com/skyrimspecialedition/mods/17729","1.1.1.0","2020/10/31 15:23:19"
"0092","Ultimate Deadly Encounters - The Way of the Dovahkiin aka Sands of Time Legendary Edition ( increased spawns ) or how to have a very bad day when you bring no followers or extra potions to the party",3093,"https://www.nexusmods.com/skyrimspecialedition/mods/3093","51.0.0.0","2020/10/31 15:24:23"
"0093","Horse Storage",3838,"https://www.nexusmods.com/skyrimspecialedition/mods/3838","1.1.0.0","2020/10/31 15:24:44"
"0094","Project AHO - SOS - CTD fix",20015,"https://www.nexusmods.com/skyrimspecialedition/mods/20015","1.0.0.0","2020/10/31 15:24:55"
"0095","Bug Fixes SSE",33261,"https://www.nexusmods.com/skyrimspecialedition/mods/33261","2.0.0.0","2020/10/31 16:26:05"
"0096",".NET Script Framework",21294,"https://www.nexusmods.com/skyrimspecialedition/mods/21294","14.0.0.0","2020/10/31 16:27:34"
"0097","Ordinator Beyond Skyrim Patch",10934,"https://www.nexusmods.com/skyrimspecialedition/mods/10934","f1.02","2020/10/31 16:48:08"
"0098","Tools - BSA",-1,"","","2020/10/31 17:01:46"
"0099","Experience",17751,"https://www.nexusmods.com/skyrimspecialedition/mods/17751","1.2.0.0","2020/10/31 18:20:30"
"0100","Unofficial Skyrim Creation Club Content Patch",18975,"https://www.nexusmods.com/skyrimspecialedition/mods/18975","5.3.0.0","2020/11/02 12:42:43"
"0101","Survival Control Panel",41891,"https://www.nexusmods.com/skyrimspecialedition/mods/41891","1.0.2.0","2020/11/02 12:59:32"
"0102","PC Head Tracking and Voice Type SE",11993,"https://www.nexusmods.com/skyrimspecialedition/mods/11993","4.7.0.0","2020/11/02 13:06:33"
"0103","Growl and Sacrosanct Hybrid",41769,"https://www.nexusmods.com/skyrimspecialedition/mods/41769","1.0.0.0","2020/11/02 13:08:44"
"0104","Carved Brink",24351,"https://www.nexusmods.com/skyrimspecialedition/mods/24351","1.1.0.0","2020/11/02 13:16:40"
"0105","Skaal You Need - Skaal house and follower SSE",41475,"https://www.nexusmods.com/skyrimspecialedition/mods/41475","1.0.1.0","2020/11/02 13:26:07"
"0106","mal's No-Show Helmets",36963,"https://www.nexusmods.com/skyrimspecialedition/mods/36963","1.1.0.0","2020/11/02 13:26:19"
"0107","EZ2C Dialogue Menu - configurable - better navigation and control",2246,"https://www.nexusmods.com/skyrimspecialedition/mods/2246","3.1.0.0","2020/11/02 13:33:50"
"0108","Better Dialogue Controls",1429,"https://www.nexusmods.com/skyrimspecialedition/mods/1429","1.2.0.0","2020/11/02 13:33:53"
"0109","BA Khajiit Speak Redux",37197,"https://www.nexusmods.com/skyrimspecialedition/mods/37197","4.1.0.0","2020/11/03 15:17:46"
"0110","S'hani the Grey - A Khajiit Preset for RaceMenu",26521,"https://www.nexusmods.com/skyrimspecialedition/mods/26521","1.0.0.0","2020/11/02 13:40:15"
"0111","Growl - Werebeasts of Skyrim",31245,"https://www.nexusmods.com/skyrimspecialedition/mods/31245","2.3.0.0","2020/11/02 13:46:33"
"0112","YOT - Your Own Thoughts SE",762,"https://www.nexusmods.com/skyrimspecialedition/mods/762","3.4.0.0SE","2020/11/03 15:14:03"
"0113","Khajiit Will Follow - Unique Perks for KWF Followers",37749,"https://www.nexusmods.com/skyrimspecialedition/mods/37749","2.2.0.0","2020/11/02 13:53:10"
"0114","Khajiit Will Follow",2227,"https://www.nexusmods.com/skyrimspecialedition/mods/2227","4.6.1.0","2020/11/02 13:53:17"
"0115","Convenient Horses",9519,"https://www.nexusmods.com/skyrimspecialedition/mods/9519","7.0.1.0","2020/11/02 15:42:22"
"0116","Campfire - Complete Camping System (Supports Skyrim VR)",667,"https://www.nexusmods.com/skyrimspecialedition/mods/667","1.12.1.0SEVR","2020/11/02 13:53:44"
"0117","Hunterborn",7900,"https://www.nexusmods.com/skyrimspecialedition/mods/7900","1.6.2.0","2020/11/02 15:42:11"
"0118","Immersive Sounds - Compendium",523,"https://www.nexusmods.com/skyrimspecialedition/mods/523","2.2.0.0","2020/11/02 13:57:43"
"0119","Wearable Lanterns",7560,"https://www.nexusmods.com/skyrimspecialedition/mods/7560","4.0.3.0","2020/11/02 14:03:13"
"0120","Interesting NPCs SE (3DNPC)",29194,"https://www.nexusmods.com/skyrimspecialedition/mods/29194","4.1.4.1","2020/11/02 14:04:57"
"0121","Bruma and Other Patches for Convenient Horses",13812,"https://www.nexusmods.com/skyrimspecialedition/mods/13812","2.0.6.0","2020/11/02 14:11:44"
"0122","Survival Mode Patch Collection",19154,"https://www.nexusmods.com/skyrimspecialedition/mods/19154","1.0.0.0","2020/11/02 14:11:48"
"0123","Wearable Lanterns MCM Fix",25372,"https://www.nexusmods.com/skyrimspecialedition/mods/25372","1.0.0.0","2020/11/02 14:16:30"
"0124","Frostfall - Hypothermia Camping Survival",671,"https://www.nexusmods.com/skyrimspecialedition/mods/671","3.4.1.0SE","2020/11/02 15:33:14"
"0125","iNeed - Food, Water and Sleep",645,"https://www.nexusmods.com/skyrimspecialedition/mods/645","1.90.0.0Alpha 1","2020/11/02 15:38:01"
"0126","Wet and Cold SE",644,"https://www.nexusmods.com/skyrimspecialedition/mods/644","2.4.0.0","2020/11/02 15:38:35"
"0127","Beyond Skyrim - Bruma - Tweaks Enhancements and Patches SSE",19374,"https://www.nexusmods.com/skyrimspecialedition/mods/19374","1.7.0.0","2020/11/02 15:45:20"
"0128","Skyrim Save System Overhaul",19399,"https://www.nexusmods.com/skyrimspecialedition/mods/19399","2.61.0.0","2020/11/02 15:52:51"
"0129","Campfire and Frostfall - Unofficial SSE Update",17925,"https://www.nexusmods.com/skyrimspecialedition/mods/17925","1.2.0.0","2020/11/02 15:52:58"
"0130","Frostfall - Seasons",16317,"https://www.nexusmods.com/skyrimspecialedition/mods/16317","1.5.0.0","2020/11/02 16:21:21"
"0131","iNeed - Food, Water and Sleep - Continued",19390,"https://www.nexusmods.com/skyrimspecialedition/mods/19390","1.93.0.0","2020/11/02 16:23:51"
"0132","PapyrusUtil SE - Modders Scripting Utility Functions",13048,"https://www.nexusmods.com/skyrimspecialedition/mods/13048","3.9.0.0","2020/11/02 17:34:05"
"0133","Expanded Mastery Perks for Ordinator",29021,"https://www.nexusmods.com/skyrimspecialedition/mods/29021","1.4.0.0","2020/11/02 20:57:55"
"0134","High Poly Vanilla Hair",41863,"https://www.nexusmods.com/skyrimspecialedition/mods/41863","2.0.0.0","2020/11/03 14:19:35"
"0135","Lock Overhaul",14927,"https://www.nexusmods.com/skyrimspecialedition/mods/14927","1.6.0.0","2020/11/03 14:19:40"
"0136","KenMOD - Lockpick Pro - Cheat",219,"https://www.nexusmods.com/skyrim/mods/219","3.0.0.0","2020/11/03 14:19:45"
"0137","Song of the Green (Auri Follower)",37996,"https://www.nexusmods.com/skyrimspecialedition/mods/37996","1.2.0.0","2020/11/03 14:59:36"
"0138","Legacy of the Dragonborn",11802,"https://www.nexusmods.com/skyrimspecialedition/mods/11802","3.0.0.0/11/2020","2020/11/03 15:09:10"
"0139","Legacy of the Dragonborn - Followers Patch (Inigo-Auri-Kaidan-M'rissi)",40816,"https://www.nexusmods.com/skyrimspecialedition/mods/40816","1.11.0.0","2020/11/03 15:18:33"
"0140","Legacy of the Dragonborn Patches (Official)",30980,"https://www.nexusmods.com/skyrimspecialedition/mods/30980","2.4.0.0","2020/11/05 13:59:41"
"0141","Legacy Safehouse Plus",39278,"https://www.nexusmods.com/skyrimspecialedition/mods/39278","3.1.0.0","2020/11/03 15:26:02"
"0142","Legacy of the Dragonborn - Interesting NPCs Patch",39834,"https://www.nexusmods.com/skyrimspecialedition/mods/39834","1.2.1.0","2020/11/03 15:27:47"
"0143","Coverkhajiits",5941,"https://www.nexusmods.com/skyrim/mods/5941","1.0.0.0","2020/11/03 21:22:54"
"0144","Skills of the Wild - New Campfire Survival Skill Trees",37693,"https://www.nexusmods.com/skyrimspecialedition/mods/37693","0.98.0.0","2020/11/04 11:44:04"
"0145","Immersive HUD - iHUD Special Edition",12440,"https://www.nexusmods.com/skyrimspecialedition/mods/12440","0.2.0.0b","2020/11/04 11:46:45"
"0146","Lanterns Of Skyrim II",30817,"https://www.nexusmods.com/skyrimspecialedition/mods/30817","2.0.0.0","2020/11/04 12:28:55"
"0147","Cathedral Weathers and Seasons",24791,"https://www.nexusmods.com/skyrimspecialedition/mods/24791","2.23.0.0b","2020/11/04 12:36:46"
"0148","Cathedral Weathers - Diverse Seasons",28612,"https://www.nexusmods.com/skyrimspecialedition/mods/28612","1.5.0.0","2020/11/04 12:36:55"
"0149","True Storms Special Edition - Thunder Rain and Weather Redone",2472,"https://www.nexusmods.com/skyrimspecialedition/mods/2472","1.0.2.0","2020/11/04 12:37:00"
"0150","Improved Rain and Fog for Cathedral Weathers",27831,"https://www.nexusmods.com/skyrimspecialedition/mods/27831","4.0.0.0","2020/11/04 12:37:58"
"0151","True Storms - Wet and Cold Compatibility",15632,"https://www.nexusmods.com/skyrimspecialedition/mods/15632","1.2.0.0","2020/11/04 12:42:26"
"0152","Sounds of Skyrim - Complete Edition - MCM",30658,"https://www.nexusmods.com/skyrimspecialedition/mods/30658","2.0.3.0","2020/11/04 12:47:14"
"0153","A Matter of Time - A HUD clock widget",12937,"https://www.nexusmods.com/skyrimspecialedition/mods/12937","3.0.0.0a4","2020/11/04 19:03:11"
"0154","Hunting in Skyrim - A Hunting Guild SE",10353,"https://www.nexusmods.com/skyrimspecialedition/mods/10353","2.0.0.0Beta1.8","2020/11/05 09:20:48"
"0155","Hunterborn SE MCM",17993,"https://www.nexusmods.com/skyrimspecialedition/mods/17993","1.6.8.0","2020/11/05 09:21:41"
"0156","Hunterborn SE MCM patcher",17993,"https://www.nexusmods.com/skyrimspecialedition/mods/17993","1.15.0.0","2020/11/05 09:22:14"
"0157","A Quality World Map",5804,"https://www.nexusmods.com/skyrimspecialedition/mods/5804","9.0.1.0","2020/11/05 13:34:16"
"0158","Cloaks of Skyrim SSE",6369,"https://www.nexusmods.com/skyrimspecialedition/mods/6369","1.2.1.0","2020/11/05 13:35:38"
"0159","360 Walk and Run Plus",7446,"https://www.nexusmods.com/skyrimspecialedition/mods/7446","3.1.3.0","2020/11/05 13:37:15"
"0160","Diverse Dragons Collection SE (DDCse)",695,"https://www.nexusmods.com/skyrimspecialedition/mods/695","2.1.3.0","2020/11/05 13:40:42"
"0161","Complete Crafting Overhaul Remastered",28608,"https://www.nexusmods.com/skyrimspecialedition/mods/28608","2.2.0.0","2020/11/05 13:43:41"
"0162","Better MessageBox Controls",1428,"https://www.nexusmods.com/skyrimspecialedition/mods/1428","1.2.0.0","2020/11/05 13:47:49"
"0163","Enhanced Textures Detail (UV-tweaks)",992,"https://www.nexusmods.com/skyrimspecialedition/mods/992","1.1.5.0","2020/11/05 13:54:02"
"0164","Weapons Armor Clothing and Clutter Fixes",18994,"https://www.nexusmods.com/skyrimspecialedition/mods/18994","2.1.0.0","2020/11/05 13:54:46"
"0165","kryptopyr's Automated Patches",19518,"https://www.nexusmods.com/skyrimspecialedition/mods/19518","1.0.0.0","2020/11/05 13:58:34"
"0166","Weapons Armor Clothing and Clutter Fixes - CBBE Patch",19176,"https://www.nexusmods.com/skyrimspecialedition/mods/19176","1.1.1.0","2020/11/05 14:07:41"
"0167","Static Mesh Improvement Mod",659,"https://www.nexusmods.com/skyrimspecialedition/mods/659","f2.08","2020/11/06 13:45:04"
"0168","Better Dynamic Snow SE",9121,"https://www.nexusmods.com/skyrimspecialedition/mods/9121","2.11.0.0","2020/11/06 13:46:23"
"0169","Holidays",1533,"https://www.nexusmods.com/skyrimspecialedition/mods/1533","2.20.0.0A1","2020/11/06 13:47:37"
"0170","LC_Build Your Noble House",18308,"https://www.nexusmods.com/skyrimspecialedition/mods/18308","1.4.0.0","2020/11/06 13:47:46"
"0171","Blended Roads",8834,"https://www.nexusmods.com/skyrimspecialedition/mods/8834","1.7.0.0","2020/11/10 09:04:13"
"0172","Skyrim SE Expanded Skyrim Weaponry",2300,"https://www.nexusmods.com/skyrimspecialedition/mods/2300","f1.01","2020/11/10 09:04:22"
"0173","JS Dragon Claws SE",1394,"https://www.nexusmods.com/skyrimspecialedition/mods/1394","1.0.0.0","2020/11/10 09:04:30"
"0174","Updated Categorized Favorites Menu",16416,"https://www.nexusmods.com/skyrimspecialedition/mods/16416","2.7.0.0","2020/11/10 09:04:44"
"0175","Sands of Time DLC 1 for Ultimate Deadly Encounters - Jebbalon Edition",37863,"https://www.nexusmods.com/skyrimspecialedition/mods/37863",".81","2020/11/10 09:18:15"
"0176","Genesis Unleashed Levelled - Dungeon Spawns and Encounters and Treasure",23871,"https://www.nexusmods.com/skyrimspecialedition/mods/23871","4.95.0.0","2020/11/10 09:18:42"
"0177","Fast Travel Ambushes and Consequences SE",9550,"https://www.nexusmods.com/skyrimspecialedition/mods/9550","7.1.0.0","2020/11/10 09:18:50"
"0178","Natural and Atmospheric Tamriel ENB 2.0",27141,"https://www.nexusmods.com/skyrimspecialedition/mods/27141","2.0.0.0","2020/11/14 13:40:02"
"0179","SKY WOLF II ENB",39484,"https://www.nexusmods.com/skyrimspecialedition/mods/39484","6.0.0.0","2020/11/14 13:42:02"
